"year","cat5_prop","cat5_avg","cat4_prop","cat4_avg","cat3_prop","cat3_avg","cat2_prop","cat2_avg","cat1_prop","cat1_avg","ts_prop","ts_avg","td_prop","td_avg"
1851,0,0,0,0,0.043956043956044,4,0.0659340659340659,6,0.21978021978022,20,0.67032967032967,61,0,0
1852,0,0,0,0,0.078125,12,0.1953125,30,0.4453125,68.4,0.28125,43.2,0,0
1853,0,0,0.166666666666667,12,0.21875,15.75,0.0833333333333333,6,0.34375,24.75,0.1875,13.5,0,0
1854,0,0,0,0,0.148148148148148,9.6,0.148148148148148,9.6,0.222222222222222,14.4,0.481481481481481,31.2,0,0
1855,0,0,0,0,0.129032258064516,4.8,0.225806451612903,8.4,0.129032258064516,4.8,0.516129032258065,19.2,0,0
1856,0,0,0.0337078651685393,3,0.0786516853932584,7,0.123595505617978,11,0.325842696629214,29,0.438202247191011,39,0,0
1857,0,0,0,0,0,0,0.135416666666667,19.5,0.479166666666667,69,0.385416666666667,55.5,0,0
1858,0,0,0,0,0,0,0.0875,7,0.65,52,0.2625,21,0,0
1859,0,0,0,0,0.127906976744186,8.25,0.197674418604651,12.75,0.372093023255814,24,0.302325581395349,19.5,0,0
1860,0,0,0,0,0.0530973451327434,5.14285714285714,0.247787610619469,24,0.300884955752212,29.1428571428571,0.398230088495575,38.5714285714286,0,0
1861,0,0,0,0,0,0,0.111111111111111,8.25,0.414141414141414,30.75,0.474747474747475,35.25,0,0
1862,0,0,0,0,0,0,0.379746835443038,30,0.253164556962025,20,0.367088607594937,29,0,0
1863,0,0,0,0,0,0,0.210526315789474,13.3333333333333,0.421052631578947,26.6666666666667,0.368421052631579,23.3333333333333,0,0
1864,0,0,0,0,0,0,0,0,0.587301587301587,44.4,0.412698412698413,31.2,0,0
1865,0,0,0,0,0,0,0.404494382022472,30.8571428571429,0.168539325842697,12.8571428571429,0.426966292134831,32.5714285714286,0,0
1866,0,0,0.0357142857142857,3.42857142857143,0.125,12,0.330357142857143,31.7142857142857,0.428571428571429,41.1428571428571,0.0803571428571429,7.71428571428571,0,0
1867,0,0,0,0,0.0272727272727273,2,0.181818181818182,13.3333333333333,0.472727272727273,34.6666666666667,0.318181818181818,23.3333333333333,0,0
1868,0,0,0,0,0,0,0.3,27,0.35,31.5,0.35,31.5,0,0
1869,0,0,0,0,0.0526315789473684,2.4,0.394736842105263,18,0.381578947368421,17.4,0.171052631578947,7.8,0,0
1870,0,0,0,0,0.0689655172413793,5.45454545454545,0.227586206896552,18,0.43448275862069,34.3636363636364,0.268965517241379,21.2727272727273,0,0
1871,0,0,0,0,0.0656565656565657,9.75,0.161616161616162,24,0.222222222222222,33,0.5,74.25,0.0505050505050505,7.5
1872,0,0,0,0,0,0,0.0606060606060606,12,0.460606060606061,91.2,0.460606060606061,91.2,0.0181818181818182,3.6
1873,0,0,0,0,0.072463768115942,12,0.152173913043478,25.2,0.355072463768116,58.8,0.420289855072464,69.6,0,0
1874,0,0,0,0,0,0,0.00680272108843537,0.857142857142857,0.27891156462585,35.1428571428571,0.639455782312925,80.5714285714286,0.0748299319727891,9.42857142857143
1875,0,0,0,0,0.0137931034482759,2,0.131034482758621,19,0.558620689655172,81,0.289655172413793,42,0.00689655172413793,1
1876,0,0,0,0,0.040650406504065,6,0.105691056910569,15.6,0.349593495934959,51.6,0.479674796747967,70.8,0.024390243902439,3.6
1877,0,0,0,0,0.00526315789473684,0.75,0.068421052631579,9.75,0.363157894736842,51.75,0.563157894736842,80.25,0,0
1878,0,0,0.0228571428571429,4,0.0914285714285714,16,0.0657142857142857,11.5,0.371428571428571,65,0.445714285714286,78,0.00285714285714286,0.5
1879,0,0,0,0,0.0470588235294118,6,0.0588235294117647,7.5,0.176470588235294,22.5,0.705882352941177,90,0.0117647058823529,1.5
1880,0,0,0.0296296296296296,4.36363636363636,0.0407407407407407,6,0.0925925925925926,13.6363636363636,0.348148148148148,51.2727272727273,0.477777777777778,70.3636363636364,0.0111111111111111,1.63636363636364
1881,0,0,0,0,0,0,0.0604026845637584,7.71428571428571,0.342281879194631,43.7142857142857,0.570469798657718,72.8571428571429,0.0268456375838926,3.42857142857143
1882,0,0,0.00769230769230769,1,0.0384615384615385,5,0.0923076923076923,12,0.4,52,0.453846153846154,59,0.00769230769230769,1
1883,0,0,0,0,0.142857142857143,24,0.169642857142857,28.5,0.401785714285714,67.5,0.276785714285714,46.5,0.00892857142857143,1.5
1884,0,0,0,0,0.0555555555555556,12,0.125,27,0.4375,94.5,0.347222222222222,75,0.0347222222222222,7.5
1885,0,0,0,0,0,0,0.036144578313253,4.5,0.259036144578313,32.25,0.656626506024096,81.75,0.0481927710843374,6
1886,0,0,0.00892857142857143,1.5,0.0446428571428571,7.5,0.268849206349206,45.1666666666667,0.260912698412698,43.8333333333333,0.395833333333333,66.5,0.0208333333333333,3.5
1887,0,0,0,0,0.0644391408114559,8.52631578947368,0.143198090692124,18.9473684210526,0.22673031026253,30,0.551312649164678,72.9473684210526,0.0143198090692124,1.89473684210526
1888,0,0,0,0,0.0454545454545455,6,0.161616161616162,21.3333333333333,0.212121212121212,28,0.570707070707071,75.3333333333333,0.0101010101010101,1.33333333333333
1889,0,0,0,0,0,0,0.148275862068966,28.6666666666667,0.158620689655172,30.6666666666667,0.679310344827586,131.333333333333,0.0137931034482759,2.66666666666667
1890,0,0,0,0,0.102564102564103,12,0.192307692307692,22.5,0.0769230769230769,9,0.576923076923077,67.5,0.0512820512820513,6
1891,0,0,0,0,0.0193050193050193,3,0.223938223938224,34.8,0.355212355212355,55.2,0.386100386100386,60,0.0154440154440154,2.4
1892,0,0,0,0,0,0,0.248251748251748,47.3333333333333,0.202797202797203,38.6666666666667,0.548951048951049,104.666666666667,0,0
1893,0,0,0.0051150895140665,1,0.219948849104859,43,0.207161125319693,40.5,0.18925831202046,37,0.363171355498721,71,0.0153452685421995,3
1894,0,0,0.0168067226890756,3.42857142857143,0.134453781512605,27.4285714285714,0.26890756302521,54.8571428571429,0.222689075630252,45.4285714285714,0.340336134453782,69.4285714285714,0.0168067226890756,3.42857142857143
1895,0,0,0,0,0,0,0.288888888888889,52,0.0722222222222222,13,0.577777777777778,104,0.0611111111111111,11
1896,0,0,0,0,0.101214574898785,21.4285714285714,0.388663967611336,82.2857142857143,0.17004048582996,36,0.279352226720648,59.1428571428571,0.0607287449392713,12.8571428571429
1897,0,0,0,0,0,0,0.149068322981366,24,0.136645962732919,22,0.701863354037267,113,0.0124223602484472,2
1898,0,0,0.00974025974025974,1.63636363636364,0.00974025974025974,1.63636363636364,0.191558441558442,32.1818181818182,0.0882034632034632,14.8181818181818,0.619588744588745,104.090909090909,0.0811688311688312,13.6363636363636
1899,0,0,0.0160771704180064,3,0.196141479099678,36.6,0.0739549839228296,13.8,0.231511254019293,43.2,0.453376205787781,84.6,0.0289389067524116,5.4
1900,0,0,0.0291666666666667,6,0.025,5.14285714285714,0.1,20.5714285714286,0.166666666666667,34.2857142857143,0.5375,110.571428571429,0.141666666666667,29.1428571428571
1901,0,0,0,0,0,0,0.048469387755102,8.76923076923077,0.14030612244898,25.3846153846154,0.665816326530612,120.461538461538,0.145408163265306,26.3076923076923
1902,0,0,0,0,0,0,0.113821138211382,16.8,0.105691056910569,15.6,0.536585365853659,79.2,0.24390243902439,36
1903,0,0,0,0,0.0574712643678161,9,0.053639846743295,8.4,0.344827586206897,54,0.436781609195402,68.4,0.10727969348659,16.8
1904,0,0,0,0,0,0,0,0,0.146853146853147,21,0.72027972027972,103,0.132867132867133,19
1905,0,0,0,0,0.043859649122807,6,0.0350877192982456,4.8,0.0263157894736842,3.6,0.798245614035088,109.2,0.0964912280701754,13.2
1906,0,0,0.0179948586118252,3.81818181818182,0.0951156812339332,20.1818181818182,0.0745501285347044,15.8181818181818,0.185089974293059,39.2727272727273,0.57840616966581,122.727272727273,0.0488431876606684,10.3636363636364
1907,0,0,0,0,0,0,0,0,0,0,0.9625,92.4,0.0375,3.6
1908,0,0,0,0,0.0431372549019608,6.6,0.0941176470588235,14.4,0.27843137254902,42.6,0.498039215686275,76.2,0.0862745098039216,13.2
1909,0,0,0,0,0.0878378378378378,13,0.0675675675675676,10,0.165540540540541,24.5,0.429054054054054,63.5,0.25,37
1910,0,0,0.0441176470588235,7.2,0.0367647058823529,6,0.25,40.8,0.205882352941176,33.6,0.242647058823529,39.6,0.220588235294118,36
1911,0,0,0,0,0,0,0.0512820512820513,8,0.128205128205128,20,0.576923076923077,90,0.243589743589744,38
1912,0,0,0,0,0.0378378378378378,6,0.0540540540540541,8.57142857142857,0.205405405405405,32.5714285714286,0.589189189189189,93.4285714285714,0.113513513513514,18
1913,0,0,0,0,0,0,0,0,0.105263157894737,16,0.809210526315789,123,0.0855263157894737,13
1914,0,0,0,0,0,0,0,0,0,0,0.764705882352941,78,0.235294117647059,24
1915,0,0,0.157635467980296,32,0.113300492610837,23,0.133004926108374,27,0.197044334975369,40,0.330049261083744,67,0.0689655172413793,14
1916,0,0,0.010443864229765,1.6,0.0548302872062663,8.4,0.12532637075718,19.2,0.18798955613577,28.8,0.472584856396867,72.4,0.148825065274151,22.8
1917,0,0,0.0769230769230769,13.5,0.153846153846154,27,0.128205128205128,22.5,0.094017094017094,16.5,0.358974358974359,63,0.188034188034188,33
1918,0,0,0,0,0.0252100840336134,3,0.0756302521008403,9,0.151260504201681,18,0.739495798319328,88,0.00840336134453781,1
1919,0,0,0.169811320754717,21.6,0.0754716981132075,9.6,0.0471698113207547,6,0.0566037735849057,7.2,0.509433962264151,64.8,0.141509433962264,18
1920,0,0,0,0,0,0,0.104803493449782,14.4,0.157205240174672,21.6,0.475982532751092,65.4,0.262008733624454,36
1921,0,0,0.0348258706467662,6,0.109452736318408,18.8571428571429,0.0746268656716418,12.8571428571429,0.213930348258706,36.8571428571429,0.373134328358209,64.2857142857143,0.194029850746269,33.4285714285714
1922,0,0,0,0,0.160893854748603,28.8,0.046927374301676,8.4,0.160893854748603,28.8,0.343016759776536,61.4,0.288268156424581,51.6
1923,0,0,0,0,0.0362389813907933,4.11111111111111,0.0763956904995103,8.66666666666667,0.146914789422135,16.6666666666667,0.528893241919687,60,0.211557296767875,24
1924,0.00760938490805327,1.09090909090909,0.0152187698161065,2.18181818181818,0.041851616994293,6,0.159797083069119,22.9090909090909,0.110336081166772,15.8181818181818,0.527584020291693,75.6363636363636,0.137603043753963,19.7272727272727
1925,0,0,0,0,0,0,0,0,0.0674157303370786,4.5,0.730337078651685,48.75,0.202247191011236,13.5
1926,0,0,0.0577647551276685,12.5454545454545,0.170782754290498,37.0909090909091,0.181247383842612,39.3636363636364,0.175805776475513,38.1818181818182,0.278777731268313,60.5454545454545,0.135621598995396,29.4545454545455
1927,0,0,0,0,0.080082135523614,9.75,0.0616016427104723,7.5,0.142710472279261,17.375,0.617043121149897,75.125,0.0985626283367557,12
1928,0.010989010989011,2,0.0879120879120879,16,0.0164835164835165,3,0.043956043956044,8,0.164835164835165,30,0.593406593406593,108,0.0824175824175824,15
1929,0,0,0.101867572156197,12,0.0509337860780985,6,0.0933786078098472,11,0.142614601018676,16.8,0.448217317487267,52.8,0.162988115449915,19.2
1930,0,0,0.0173913043478261,4,0.104347826086957,24,0.0956521739130435,22,0.173913043478261,40,0.51304347826087,118,0.0956521739130435,22
1931,0,0,0.00387346675274371,0.461538461538462,0.00387346675274371,0.461538461538462,0.0116204002582311,1.38461538461538,0.0619754680438993,7.38461538461539,0.651387992253067,77.6153846153846,0.267269205939316,31.8461538461538
1932,0.046831955922865,6.8,0.0606060606060606,8.8,0.0358126721763085,5.2,0.0798898071625344,11.6,0.0771349862258953,11.2,0.611570247933884,88.8,0.0881542699724518,12.8
1933,0.00668709947060462,1.2,0.0685427695736974,12.3,0.0702145444413486,12.6,0.0897185845639454,16.1,0.142936751184174,25.65,0.443020339927556,79.5,0.178879910838674,32.1
1934,0,0,0,0,0.00678733031674208,0.923076923076923,0.0678733031674208,9.23076923076923,0.175339366515837,23.8461538461538,0.597285067873303,81.2307692307692,0.152714932126697,20.7692307692308
1935,0.0120401337792642,2.25,0.0448160535117057,8.375,0.0923076923076923,17.25,0.104347826086957,19.5,0.124414715719064,23.25,0.417391304347826,78,0.204682274247492,38.25
1936,0,0,0,0,0.0260586319218241,2.82352941176471,0.136807817589577,14.8235294117647,0.162866449511401,17.6470588235294,0.514657980456026,55.7647058823529,0.159609120521173,17.2941176470588
1937,0,0,0,0,0.0461538461538462,4.90909090909091,0.107692307692308,11.4545454545455,0.164102564102564,17.4545454545455,0.538461538461538,57.2727272727273,0.143589743589744,15.2727272727273
1938,0.015748031496063,2,0.073490813648294,9.33333333333333,0.0288713910761155,3.66666666666667,0.047244094488189,6,0.15748031496063,20,0.498687664041995,63.3333333333333,0.178477690288714,22.6666666666667
1939,0,0,0.0413793103448276,7,0.0236453201970443,4,0.00591133004926108,1,0.0768472906403941,13,0.580295566502463,98.1666666666667,0.27192118226601,46
1940,0,0,0,0,0,0,0.11304347826087,17.3333333333333,0.204347826086957,31.3333333333333,0.478260869565217,73.3333333333333,0.204347826086957,31.3333333333333
1941,0,0,0.0118226600985222,2,0.0354679802955665,6,0.0660098522167488,11.1666666666667,0.159605911330049,27,0.508374384236453,86,0.21871921182266,37
1942,0,0,0,0,0.0222222222222222,2.72727272727273,0.0711111111111111,8.72727272727273,0.137777777777778,16.9090909090909,0.653333333333333,80.1818181818182,0.115555555555556,14.1818181818182
1943,0,0,0.0306122448979592,3.6,0.0612244897959184,7.2,0.193877551020408,22.8,0.168367346938776,19.8,0.505102040816326,59.4,0.0408163265306122,4.8
1944,0,0,0.0395256916996047,4.28571428571429,0.0513833992094862,5.57142857142857,0.08300395256917,9,0.205533596837945,22.2857142857143,0.553359683794466,60,0.0671936758893281,7.28571428571429
1945,0,0,0.0108695652173913,1.09090909090909,0.0706521739130435,7.09090909090909,0.0543478260869565,5.45454545454545,0.190217391304348,19.0909090909091,0.521739130434783,52.3636363636364,0.152173913043478,15.2727272727273
1946,0,0,0,0,0,0,0.0428571428571429,2.57142857142857,0.257142857142857,15.4285714285714,0.528571428571429,31.7142857142857,0.171428571428571,10.2857142857143
1947,0,0,0.0381895332390382,5.4,0.0678925035360679,9.6,0.101838755304102,14.4,0.101838755304102,14.4,0.507779349363508,71.8,0.182461103253182,25.8
1948,0,0,0.0218340611353712,3,0.104803493449782,14.4,0.11353711790393,15.6,0.11353711790393,15.6,0.48471615720524,66.6,0.161572052401747,22.2
1949,0,0,0.0068689181453921,0.75,0.0480824270177447,5.25,0.0721236405266171,7.875,0.155123068116772,16.9375,0.597595878649113,65.25,0.120206067544362,13.125
1950,0,0,0.0423105224429728,7.1875,0.0945548197203826,16.0625,0.116997792494481,19.875,0.205298013245033,34.875,0.437086092715232,74.25,0.103752759381898,17.625
1951,0,0,0.0260444926749864,4,0.032555615843733,5,0.123711340206186,19,0.253933803581118,39,0.410200759631036,63,0.153553988062941,23.5833333333333
1952,0,0,0.0207182320441989,2.72727272727273,0.0207182320441989,2.72727272727273,0.0455801104972376,6,0.161602209944751,21.2727272727273,0.494475138121547,65.0909090909091,0.256906077348066,33.8181818181818
1953,0.00694444444444444,0.857142857142857,0.0347222222222222,4.28571428571429,0.0277777777777778,3.42857142857143,0.0451388888888889,5.57142857142857,0.145833333333333,18,0.565972222222222,69.8571428571429,0.173611111111111,21.4285714285714
1954,0,0,0.00898030127462341,0.96875,0.0851680185399768,9.1875,0.0912514484356895,9.84375,0.159907300115875,17.25,0.417728852838934,45.0625,0.236964078794902,25.5625
1955,0.00822510822510823,1.1875,0.0229437229437229,3.3125,0.0571428571428571,8.25,0.101298701298701,14.625,0.250649350649351,36.1875,0.427272727272727,61.6875,0.132467532467532,19.125
1956,0,0,0,0,0.0393258426966292,3.5,0.140449438202247,12.5,0.106741573033708,9.5,0.49438202247191,44,0.219101123595506,19.5
1957,0,0,0.0329368709972553,4.5,0.0494053064958829,6.75,0.148215919487649,20.25,0.219579139981702,30,0.434583714547118,59.375,0.115279048490393,15.75
1958,0,0,0.0379310344827586,5.5,0.0482758620689655,7,0.0862068965517241,12.5,0.179310344827586,26,0.489655172413793,71,0.158620689655172,23
1959,0,0,0.0112359550561798,1.28571428571429,0.0374531835205993,4.28571428571429,0.0749063670411985,8.57142857142857,0.112359550561798,12.8571428571429,0.49812734082397,57,0.265917602996255,30.4285714285714
1960,0,0,0.0420711974110032,6.5,0.122977346278317,19,0.0307443365695793,4.75,0.0954692556634304,14.75,0.344660194174757,53.25,0.364077669902913,56.25
1961,0.0182833925850686,3.27272727272727,0.08532249873032,15.2727272727273,0.195530726256983,35,0.100558659217877,18,0.173692229558151,31.0909090909091,0.262061960385983,46.9090909090909,0.164550533265617,29.4545454545455
1962,0,0,0,0,0.0150375939849624,2.4,0.0902255639097744,14.4,0.203007518796992,32.4,0.330827067669173,52.8,0.360902255639098,57.6
1963,0,0,0.0395209580838323,7.33333333333333,0.0610778443113772,11.3333333333333,0.122155688622754,22.6666666666667,0.298802395209581,55.4444444444444,0.204790419161677,38,0.273652694610778,50.7777777777778
1964,0,0,0.065989847715736,13,0.083756345177665,16.5,0.104060913705584,20.5,0.175126903553299,34.5,0.269035532994924,53,0.302030456852792,59.5
1965,0,0,0.0432692307692308,9,0.100961538461538,21,0.0192307692307692,4,0.350961538461538,73,0.225961538461538,47,0.259615384615385,54
1966,0,0,0.0457142857142857,8.72727272727273,0.0542857142857143,10.3636363636364,0.142857142857143,27.2727272727273,0.225714285714286,43.0909090909091,0.245714285714286,46.9090909090909,0.285714285714286,54.5454545454545
1967,0.00544135429262394,0.692307692307692,0.0126964933494559,1.61538461538462,0.0235792019347037,3,0.0435308343409915,5.53846153846154,0.178053204353083,22.6538461538462,0.15235792019347,19.3846153846154,0.584340991535671,74.3461538461538
1968,0,0,0,0,0,0,0,0,0.129568106312292,15.6,0.219269102990033,26.4,0.651162790697674,78.4
1969,0.00842933408260747,1.03448275862069,0.00505760044956448,0.620689655172414,0.0303456026973869,3.72413793103448,0.0556336049452093,6.82758620689655,0.166900814835628,20.4827586206897,0.28153975835909,34.551724137931,0.452093284630514,55.4827586206897
1970,0,0,0,0,0.0099009900990099,1.26315789473684,0.0173267326732673,2.21052631578947,0.0371287128712871,4.73684210526316,0.155940594059406,19.8947368421053,0.77970297029703,99.4736842105263
1971,0.00178890876565295,0.272727272727273,0.00178890876565295,0.272727272727273,0.0035778175313059,0.545454545454545,0.0250447227191413,3.81818181818182,0.16994633273703,25.9090909090909,0.237924865831843,36.2727272727273,0.559928443649374,85.3636363636364
1972,0,0,0,0,0,0,0.0289855072463768,2.66666666666667,0.0615942028985507,5.66666666666667,0.202898550724638,18.6666666666667,0.706521739130435,65
1973,0,0,0,0,0,0,0.0112359550561798,1.05882352941176,0.131086142322097,12.3529411764706,0.333333333333333,31.4117647058824,0.524344569288389,49.4117647058824
1974,0,0,0.0184049079754601,1.8,0.0337423312883436,3.3,0.049079754601227,4.8,0.0736196319018405,7.2,0.196319018404908,19.2,0.628834355828221,61.5
1975,0,0,0.00505050505050505,0.545454545454545,0.0176767676767677,1.90909090909091,0.047979797979798,5.18181818181818,0.128787878787879,13.9090909090909,0.214646464646465,23.1818181818182,0.585858585858586,63.2727272727273
1976,0,0,0,0,0.0116618075801749,1.14285714285714,0.113702623906706,11.1428571428571,0.163265306122449,16,0.215743440233236,21.1428571428571,0.495626822157434,48.5714285714286
1977,0.0136986301369863,0.8,0.00684931506849315,0.4,0.00684931506849315,0.4,0.0136986301369863,0.8,0.13013698630137,7.6,0.184931506849315,10.8,0.643835616438356,37.6
1978,0,0,0.0108892921960073,1,0.0272232304900181,2.5,0.0272232304900181,2.5,0.0789473684210526,7.25,0.256352087114338,23.5416666666667,0.599364791288566,55.0416666666667
1979,0.0136941636778611,2.1,0.0254320182588849,3.9,0.0058689272905119,0.9,0.0254320182588849,3.9,0.0958591457450277,14.7,0.17411150961852,26.7,0.65960221715031,101.15
1980,0.0298507462686567,4,0.027363184079602,3.66666666666667,0.0149253731343284,2,0.121890547263682,16.3333333333333,0.176616915422886,23.6666666666667,0.208955223880597,28,0.420398009950249,56.3333333333333
1981,0,0,0.00244498777506112,0.285714285714286,0.0342298288508557,4,0.0660146699266504,7.71428571428571,0.117359413202934,13.7142857142857,0.344743276283619,40.2857142857143,0.43520782396088,50.8571428571429
1982,0,0,0.0078125,0.75,0.03125,3,0.0703125,6.75,0.0703125,6.75,0.3125,30,0.5078125,48.75
1983,0,0,0,0,0.00854700854700855,1,0.0170940170940171,2,0.094017094017094,11,0.34045584045584,39.8333333333333,0.53988603988604,63.1666666666667
1984,0,0,0.00294985250737463,0.3,0.00589970501474926,0.6,0.0383480825958702,3.9,0.165191740412979,16.8,0.374631268436578,38.1,0.412979351032448,42
1985,0,0,0.00954907161803713,1.28571428571429,0.0413793103448276,5.57142857142857,0.0689655172413793,9.28571428571429,0.147480106100796,19.8571428571429,0.36657824933687,49.3571428571429,0.36604774535809,49.2857142857143
1986,0,0,0,0,0,0,0.0843373493975904,8.4,0.162650602409639,16.2,0.289156626506024,28.8,0.463855421686747,46.2
1987,0,0,0,0,0.0046875,0.642857142857143,0.0046875,0.642857142857143,0.046875,6.42857142857143,0.396875,54.4285714285714,0.546875,75
1988,0.0105263157894737,1.26315789473684,0.0364035087719298,4.36842105263158,0.0504385964912281,6.05263157894737,0.0473684210526316,5.68421052631579,0.0763157894736842,9.1578947368421,0.260526315789474,31.2631578947368,0.518421052631579,62.2105263157895
1989,0.00253807106598985,0.4,0.0609137055837563,9.6,0.0355329949238579,5.6,0.0761421319796954,12,0.147208121827411,23.2,0.32994923857868,52,0.347715736040609,54.8
1990,0,0,0,0,0.00956937799043062,1.5,0.0334928229665072,5.25,0.210526315789474,33,0.363636363636364,57,0.382775119617225,60
1991,0,0,0.00956937799043062,0.666666666666667,0.0263157894736842,1.83333333333333,0.0598086124401914,4.16666666666667,0.136363636363636,9.5,0.380382775119617,26.5,0.38755980861244,27
1992,0.0119325551232166,1.53333333333333,0.0460440985732814,5.91666666666667,0.00739299610894942,0.95,0.116731517509728,15,0.117509727626459,15.1,0.410894941634241,52.8,0.289494163424125,37.2
1993,0,0,0,0,0.0157068062827225,1.8,0.0471204188481675,5.4,0.130890052356021,15,0.416230366492147,47.7,0.390052356020942,44.7
1994,0,0,0,0,0,0,0.0194174757281553,2,0.116504854368932,12,0.388349514563107,40,0.475728155339806,49
1995,0,0,0.0456130936409981,8.09523809523809,0.0290135050532153,5.14920634920635,0.0628834630176192,11.1603174603175,0.256909042125034,45.5952380952381,0.372149181647438,66.0476190476191,0.233431714515696,41.4285714285714
1996,0,0,0.0563931858233797,11.0769230769231,0.0657920501272763,12.9230769230769,0.0620716663403172,12.1923076923077,0.238887801057372,46.9230769230769,0.306637947914627,60.2307692307692,0.270217348737028,53.0769230769231
1997,0,0,0,0,0.0576923076923077,6,0.0256410256410256,2.66666666666667,0.16025641025641,16.6666666666667,0.480769230769231,50,0.275641025641026,28.6666666666667
1998,0.0164641317130537,3,0.0258722069776558,4.71428571428571,0.0482163857310859,8.78571428571429,0.123872990983928,22.5714285714286,0.237553900431203,43.2857142857143,0.348098784790278,63.4285714285714,0.199921599372795,36.4285714285714
1999,0,0,0.0861715223635618,13.125,0.0541649569142388,8.25,0.090274928190398,13.75,0.170325536862262,25.9427083333333,0.357372452468882,54.4322916666667,0.241690603200657,36.8125
2000,0,0,0.0111111111111111,1.33333333333333,0.0444444444444444,5.33333333333333,0.0638888888888889,7.66666666666667,0.241666666666667,29,0.363888888888889,43.6666666666667,0.275,33
2001,0,0,0.0214381420276909,2.82352941176471,0.0241179097811523,3.17647058823529,0.0428762840553819,5.64705882352941,0.182224207235373,24,0.407324698526128,53.6470588235294,0.322018758374274,42.4117647058824
2002,0,0,0.0064,0.857142857142857,0.032,4.28571428571429,0.0229333333333333,3.07142857142857,0.0746666666666667,10,0.5536,74.1428571428571,0.3104,41.5714285714286
2003,0.0173267326732673,2,0.0767326732673267,8.85714285714286,0.0717821782178218,8.28571428571429,0.0618811881188119,7.14285714285714,0.0946782178217822,10.9285714285714,0.44740099009901,51.6428571428571,0.23019801980198,26.5714285714286
2004,0.0210526315789474,3.75,0.0889473684210526,15.84375,0.0771929824561404,13.75,0.101228070175439,18.03125,0.0929824561403509,16.5625,0.361754385964912,64.4375,0.256842105263158,45.75
2005,0.0173182891629494,2.12903225806452,0.0501618122977346,6.16666666666667,0.0427271932126301,5.25268817204301,0.0396221464182629,4.87096774193548,0.160981369719234,19.7903225806452,0.453402431557771,55.739247311828,0.235786757631418,28.9865591397849
2006,0,0,0,0,0.0308880308880309,1.54838709677419,0.0579150579150579,2.90322580645161,0.227799227799228,11.4193548387097,0.555984555984556,27.8709677419355,0.127413127413127,6.38709677419355
2007,0.0432432432432432,2.82352941176471,0.0756756756756757,4.94117647058824,0.0108108108108108,0.705882352941177,0.022972972972973,1.5,0.106756756756757,6.97058823529412,0.465315315315315,30.3823529411765,0.275225225225225,17.9705882352941
2008,0,0,0.0356234096692112,4.94117647058824,0.0407124681933842,5.64705882352941,0.0712468193384224,9.88235294117647,0.16030534351145,22.2352941176471,0.56128074639525,77.8529411764706,0.130831212892282,18.1470588235294
2009,0,0,0.033003300330033,2.72727272727273,0.0594059405940594,4.90909090909091,0.0924092409240924,7.63636363636364,0.127612761276128,10.5454545454545,0.44994499449945,37.1818181818182,0.237623762376238,19.6363636363636
2010,0,0,0.0728450020234723,8.57142857142857,0.0339943342776204,4,0.0744637798462161,8.76190476190476,0.188587616349656,22.1904761904762,0.487150951031971,57.3214285714286,0.142958316471064,16.8214285714286
2011,0,0,0.00756620428751576,0.9,0.0378310214375788,4.5,0.0529634300126103,6.3,0.160396525150624,19.0791666666667,0.635315959086451,75.5708333333333,0.105926860025221,12.6
2012,0,0,0,0,0.00336257309941521,0.504385964912281,0.0460233918128655,6.90350877192983,0.184298245614035,27.6447368421053,0.583157894736842,87.4736842105263,0.183157894736842,27.4736842105263
2013,0,0,0,0,0,0,0,0,0.0572687224669604,5.57142857142857,0.700440528634361,68.1428571428571,0.242290748898678,23.5714285714286
2014,0,0,0.0476190476190476,5.33333333333333,0.0416666666666667,4.66666666666667,0.0952380952380952,10.6666666666667,0.226190476190476,25.3333333333333,0.357142857142857,40,0.232142857142857,26
2015,0,0,0.0437405731523379,4.83333333333333,0.028657616892911,3.16666666666667,0.0271493212669683,3,0.113122171945701,12.5,0.529411764705882,58.5,0.257918552036199,28.5
2016,0.00500991545767665,0.75,0.0526041123056048,7.875,0.0450892391190899,6.75,0.0500991545767665,7.5,0.120029224506836,17.96875,0.516751904811606,77.359375,0.210416449222419,31.5
2017,0.0396421845574388,5.53947368421053,0.0484934086629002,6.77631578947368,0.0858757062146893,12,0.088135593220339,12.3157894736842,0.203389830508475,28.4210526315789,0.371751412429379,51.9473684210526,0.16271186440678,22.7368421052632
